Date,Bitcoin,Cardano,Ethereum,Waves
2017-11-06,5950.069824,0.023977,307.90799,3.69647
2017-11-13,8036.490234,0.028084,354.385986,5.12212
2017-11-20,9330.549805,0.036332,471.329987,5.68492
2017-11-27,11323.2002,0.131807,465.852997,6.19872
2017-12-04,15455.40039,0.110281,441.721008,9.76156
2017-12-11,19140.80078,0.513011,719.974976,13.5359
2017-12-18,13925.79981,0.390029,694.14801,13.8122
2017-12-25,14156.40039,0.719695,756.732971,12.5966
2018-01-01,16477.59961,1.00852,1153.170044,12.947
2018-01-08,13772,0.802262,1366.77002,11.0912
2018-01-15,11600.09961,0.613163,1049.579956,8.26766
2018-01-22,11786.29981,0.670286,1246.01001,9.19624
2018-01-29,8277.009766,0.379303,834.682007,5.74141
2018-02-05,8129.970215,0.369769,814.659973,5.45075
2018-02-12,10551.79981,0.385618,923.921021,7.53907
2018-02-19,9664.730469,0.344033,844.809998,6.48607
2018-02-26,11512.59961,0.300787,866.677979,6.86458
2018-03-05,9578.629883,0.223498,723.338989,5.89616
2018-03-12,8223.679688,0.156155,538.643982,4.40814
2018-03-19,8495.780273,0.184605,524.286987,4.7363
2018-03-26,6844.22998,0.150768,379.606995,3.49103
2018-04-02,7023.52002,0.156599,400.507996,3.63884
2018-04-09,8329.110352,0.22139,531.702026,4.91138
2018-04-16,8802.459961,0.285535,621.859985,5.17681
2018-04-23,9419.080078,0.365057,688.880981,7.01147
2018-04-30,9654.799805,0.350021,792.310974,6.94606
2018-05-07,8723.94043,0.28589,733.495972,6.57223
2018-05-14,8513.25,0.256136,715.369019,6.07135
2018-05-21,7368.220215,0.193557,572.66803,4.21786
2018-05-28,7720.25,0.228154,618.328979,4.38249
2018-06-04,6786.02002,0.176868,526.479004,3.80779
2018-06-11,6499.27002,0.16138,500.447998,3.39712
2018-06-18,6173.22998,0.132703,457.671997,2.71045
2018-06-25,6385.819824,0.142208,453.917999,2.86405
2018-07-02,6773.879883,0.145389,489.118988,3.05568
2018-07-09,6359.640137,0.142262,449.850006,2.75603
2018-07-16,7418.490234,0.170277,459.657013,2.75471
2018-07-23,8218.459961,0.163313,466.665009,2.66471
2018-07-30,7068.47998,0.131721,410.515991,1.8675
2018-08-06,6322.689941,0.11297,319.570007,2.06467
2018-08-13,6506.069824,0.102437,300.834015,2.16404
2018-08-20,6707.259766,0.093338,275.196991,2.22504
2018-08-27,7272.720215,0.104432,294.371002,2.12272
2018-09-03,6300.859863,0.076643,196.923996,1.8705
2018-09-10,6517.180176,0.069963,220.589005,2.24642
2018-09-17,6710.629883,0.089754,244.330002,2.28276
2018-09-24,6625.560059,0.085195,232.848007,2.20107
2018-10-01,6602.950195,0.084658,226.119003,2.12038
2018-10-08,6290.930176,0.071293,195.714996,1.88654
2018-10-15,6482.350098,0.075873,205.141998,1.97686
2018-10-22,6486.390137,0.073166,205.365997,1.89698
2018-10-29,6376.129883,0.076229,207.485992,1.82138
2018-11-05,6411.27002,0.076481,211.339996,1.72718
2018-11-12,5623.540039,0.061916,177.067001,1.52217
2018-11-19,4009.969971,0.037725,116.449997,1.04436
2018-11-26,4139.87793,0.041672,116.388901,1.575929
2018-12-03,3614.234375,0.031693,95.142059,1.695719
2018-12-10,3252.839111,0.029103,85.2621,2.429796
2018-12-17,3998.980225,0.04423,130.765259,3.763244
2018-12-24,3865.952637,0.04328,139.859451,3.093816
2018-12-31,4076.632568,0.049261,157.746201,3.210197
2019-01-07,3552.953125,0.040241,116.897804,2.669515
2019-01-14,3601.013672,0.043477,119.474831,2.54093
2019-01-21,3583.96582,0.041168,113.405289,2.699514
2019-01-28,3464.013428,0.038029,107.492668,2.816341
2019-02-04,3690.188232,0.04283,124.806488,2.724233
2019-02-11,3673.836182,0.041452,133.598877,2.618167
2019-02-18,3810.42749,0.042456,135.852661,2.680143
2019-02-25,3847.175781,0.042312,132.24942,2.668508
2019-03-04,3951.599854,0.045698,136.758682,2.754553
2019-03-11,4025.229004,0.050207,140.000549,2.759907
2019-03-18,4022.168213,0.061704,136.986923,2.762467
2019-03-25,4105.404297,0.069746,141.514099,2.7881
2019-04-01,5198.896973,0.090484,174.531647,2.971167
2019-04-08,5167.722168,0.084643,167.838516,2.78101
2019-04-15,5314.53125,0.074106,170.046524,2.608029
2019-04-22,5285.13916,0.068591,157.295074,2.103301
2019-04-29,5795.708496,0.066146,163.450699,2.083837
2019-05-06,6972.371582,0.070086,187.325317,2.409557
2019-05-13,8197.689453,0.086996,261.292206,2.548902
2019-05-20,8673.21582,0.086014,267.069641,2.716107
2019-05-27,8742.958008,0.096578,270.225525,2.654417
2019-06-03,7688.077148,0.07947,233.0867,2.294122
2019-06-10,8994.488281,0.092321,269.223206,2.43177
2019-06-17,10855.37109,0.096644,307.827789,2.351527
2019-06-24,10817.15527,0.082098,290.695984,1.826635
2019-07-01,11450.84668,0.079964,305.700562,2.053699
2019-07-08,10256.05859,0.059429,227.578064,1.478241
2019-07-15,10599.10547,0.061203,225.630768,1.462785
2019-07-22,9552.860352,0.059474,211.186554,1.357299
2019-07-29,10970.18457,0.056271,222.669724,1.365568
2019-08-05,11523.5791,0.054981,216.092865,1.321563
2019-08-12,10345.81055,0.050731,194.49353,1.258325
2019-08-19,10138.51758,0.049439,186.842392,1.257876
2019-08-26,9757.970703,0.044543,171.629425,1.118619
2019-09-02,10441.27637,0.046719,181.35553,1.065136
2019-09-09,10347.71289,0.046799,189.789124,1.076731
2019-09-16,10070.39258,0.049111,211.54538,1.097789
2019-09-23,8104.185547,0.037486,170.503479,0.827751
2019-09-30,7988.155762,0.039324,173.059143,0.885606
2019-10-07,8321.005859,0.041325,182.07515,0.844789
2019-10-14,8222.078125,0.039529,175.534378,0.810827
2019-10-21,9551.714844,0.042335,184.242218,0.797863
2019-10-28,9235.354492,0.04193,182.425018,0.794972
2019-11-04,9055.526367,0.043958,189.47728,0.797494
2019-11-11,8577.975586,0.045421,185.119232,0.773747
2019-11-18,7047.916992,0.035588,142.834702,0.585983
2019-11-25,7424.29248,0.039587,151.18573,0.615029
2019-12-02,7564.345215,0.038948,151.264725,0.591028
2019-12-09,7152.301758,0.036653,143.11499,0.715646
2019-12-16,7511.588867,0.034466,132.372513,0.871579
2019-12-23,7422.652832,0.034284,134.75798,1.001089
2019-12-30,7411.317383,0.034721,136.276779,0.891762
2020-01-06,8192.494141,0.03769,145.873932,0.847656
2020-01-13,8706.245117,0.041979,166.969849,0.890454
2020-01-20,8596.830078,0.044581,168.077103,0.872567
2020-01-27,9344.365234,0.055768,188.617538,0.957189
2020-02-03,10116.67383,0.061809,228.578568,1.101068
2020-02-10,9934.433594,0.062654,259.894714,1.381638
2020-02-17,9924.515625,0.06151,273.75415,1.446016
2020-02-24,8562.454102,0.045932,218.970596,1.11652
2020-03-02,8108.116211,0.043291,200.689056,1.102122
2020-03-09,5392.314941,0.02712,125.214302,0.868088
2020-03-16,5830.254883,0.027089,123.321152,0.85508
2020-03-23,5922.042969,0.028249,125.583733,0.777387
2020-03-30,6791.129395,0.032003,143.546646,0.945443
2020-04-06,6971.091797,0.033806,161.142426,1.008789
2020-04-13,7189.424805,0.035816,181.61496,1.023046
2020-04-20,7679.867188,0.045879,197.317535,1.04952
2020-04-27,8897.46875,0.048929,210.933151,1.063828
2020-05-04,8756.430664,0.047677,188.599564,0.962157
2020-05-11,9670.739258,0.051343,207.158691,1.050608
2020-05-18,8790.368164,0.052641,202.370346,1.027938
2020-05-25,9461.058594,0.074352,230.975708,1.107574
2020-06-01,9758.852539,0.086654,245.167252,1.14464
2020-06-08,9386.788086,0.076748,234.1147,1.185137
2020-06-15,9303.629883,0.078475,228.989822,1.204733
2020-06-22,9143.582031,0.080392,225.347168,1.138584
2020-06-29,9073.942383,0.098211,227.664597,1.114787
2020-07-06,9276.5,0.126783,242.131699,1.207074
2020-07-13,9185.817383,0.123712,238.487518,1.454234
2020-07-20,9905.166992,0.148108,309.643616,1.523455
2020-07-27,11053.61426,0.133505,370.671722,1.595878
2020-08-03,11675.73926,0.145244,391.120453,1.945036
2020-08-10,11892.80371,0.138471,433.786621,4.041768
2020-08-17,11664.84766,0.121595,391.384491,3.501981
2020-08-24,11711.50586,0.117437,428.395721,3.389542
2020-08-31,10280.35156,0.09306,353.362274,2.499308
2020-09-07,10323.75586,0.094856,365.570007,3.07287
2020-09-14,10938.27148,0.089433,371.052826,2.439366
2020-09-21,10775.26953,0.101287,357.438507,2.482394
2020-09-28,10669.58301,0.096348,352.57901,2.378189
2020-10-05,11384.18164,0.106538,375.142059,2.44359
2020-10-12,11483.35938,0.107388,378.213684,3.070424
2020-10-19,13031.17383,0.106351,406.217773,3.281851
2020-10-26,13737.10938,0.098197,396.358185,3.21381
2020-11-02,15479.56738,0.106621,453.554779,3.516135
2020-11-09,15955.58789,0.100531,447.559082,4.405723
2020-11-16,18370.00195,0.14476,558.068115,7.002892
2020-11-23,18177.48438,0.166639,575.758057,7.027152
2020-11-30,19345.12109,0.158867,601.908997,8.437054
2020-12-07,19142.38281,0.153964,589.663208,8.621799
2020-12-14,23477.29492,0.161988,638.290833,7.19596
2020-12-21,26272.29492,0.154422,682.642334,6.393072
2020-12-28,32782.02344,0.204995,975.50769,5.513141
2021-01-04,38356.44141,0.304895,1262.246704,6.510463
2021-01-11,35791.27734,0.379852,1230.172241,7.376166
2021-01-18,32289.37891,0.353881,1391.609375,7.003469
2021-01-25,33114.35938,0.344898,1314.986206,6.515741
2021-02-01,38903.44141,0.663238,1614.227783,8.06716
2021-02-08,48717.28906,0.848419,1805.084106,11.876458
2021-02-15,57539.94531,1.10052,1935.601074,12.431597
2021-02-22,45137.76953,1.308059,1416.04895,8.88032
2021-03-01,51206.69141,1.133367,1723.153809,10.119281
2021-03-08,59302.31641,1.059154,1854.564331,9.832217
2021-03-15,57523.42188,1.18914,1788.217041,9.995831
2021-03-22,55950.74609,1.191124,1691.355957,11.899928
2021-03-29,58758.55469,1.19142,2093.122803,12.457552
2021-04-05,60204.96484,1.266735,2157.656982,15.648116
2021-04-12,56216.18359,1.275501,2237.136963,13.581653
2021-04-19,49004.25391,1.08825,2316.05957,12.891414
2021-04-26,56631.07813,1.326812,2952.056152,23.678234
2021-05-03,58232.31641,1.770562,3928.844727,31.626408
2021-05-10,46456.05859,2.309113,3587.506104,30.470177
2021-05-17,34770.58203,1.325436,2109.579834,14.819433
2021-05-24,35678.12891,1.577279,2390.30542,13.199347
2021-05-31,35862.37891,1.678248,2715.092773,16.412237
2021-06-07,39097.85938,1.558359,2508.391602,15.177042
2021-06-14,35698.29688,1.429188,2246.364502,17.632587
2021-06-21,34649.64453,1.335202,1978.894653,13.880935
2021-06-28,35287.78125,1.458184,2321.724121,16.886677
2021-07-05,34240.1875,1.348145,2139.664795,14.312876
2021-07-12,31796.81055,1.183698,1895.552124,13.20066
2021-07-19,35350.1875,1.228501,2191.373779,15.400426
2021-07-26,39974.89453,1.31773,2561.852051,15.80954
2021-08-02,43798.11719,1.42783,3013.732666,16.262749
2021-08-09,47047.00391,2.169153,3310.50415,24.923229
2021-08-16,49321.65234,2.713725,3242.115479,26.034267
2021-08-23,48829.83203,2.855986,3227.002686,24.82028
2021-08-30,51753.41016,2.910824,3952.133545,29.494286
2021-09-06,46063.26953,2.581727,3410.134521,32.133167
2021-09-13,47260.21875,2.282299,3329.447998,27.426136
2021-09-20,43208.53906,2.208495,3062.265381,23.654161
2021-09-27,48199.95313,2.252873,3418.358643,27.091663
2021-10-04,54771.57813,2.197214,3425.852783,26.387968
2021-10-11,61553.61719,2.156963,3847.104492,28.873249
2021-10-18,60930.83594,2.123435,4087.903076,28.070919
2021-10-25,61318.95703,1.965026,4288.074219,26.422768
2021-11-01,63326.98828,2.021872,4620.554688,25.448065
2021-11-08,65466.83984,2.040853,4626.358887,23.38279
2021-11-15,58730.47656,1.839763,4269.73291,21.513182
2021-11-22,57248.45703,1.592855,4294.453613,20.435286
2021-11-29,49368.84766,1.378105,4198.322754,19.234512
2021-12-06,50098.33594,1.347282,4134.453125,16.670242
2021-12-13,46707.01563,1.244661,3922.592529,16.12125
2021-12-20,50809.51563,1.456045,4067.328125,16.199305
2021-12-27,47345.21875,1.377584,3829.564941,15.402516
2022-01-03,41911.60156,1.17386,3157.751465,14.106014
2022-01-10,43113.87891,1.407251,3350.921875,14.296078
2022-01-17,36276.80469,1.122371,2535.039063,9.190088
2022-01-24,37917.60156,1.037473,2603.466553,9.266718
2022-01-31,42412.43359,1.144547,3057.476074,10.55119
2022-02-07,42197.51563,1.045819,2883.463379,9.441389
2022-02-14,38431.37891,0.932902,2628.648438,9.388651
2022-02-21,37709.78516,0.858335,2621.801758,11.194829
2022-02-28,38419.98438,0.823752,2555.037354,17.91811
2022-03-07,37849.66406,0.790995,2518.94458,26.597931
2022-03-14,41247.82422,0.877092,2860.459229,32.396019
2022-03-21,46820.49219,1.182148,3291.577637,32.471142
2022-03-28,46453.56641,1.190385,3385.157959,54.612747
